BottomTier,MiddleTier,TopTier,Lstate1,Date1,B_DiffPrevMonth,B_60DayChange,B_90DayChange,M_DiffPrevMonth,M_60DayChange,M_90DayChange,T_DiffPrevMonth,T_60DayChange,T_90DayChange,B_PrincipalMonthly,B_AvgMortgage,B_InterestMonthly,M_PrincipalMonthly,M_AvgMortgage,M_InterestMonthly,T_PrincipalMonthly,T_AvgMortgage,T_InterestMonthly,R_Monthly,CityName,R_DiffPrevMonth,R_60DayChange,R_90DayChange
133743,269653,405564,GA,4/1/2021,1837,3426,4901,3841,7124,10132,5846,10823,15363,371,1151.675833,780.6758333,749,2322.011944,1573.011944,1126,3492.356667,2366.356667,1180,Augusta,-458,-207,-175
133743,269653,405564,GA,4/1/2021,1837,3426,4901,3841,7124,10132,5846,10823,15363,371,1151.675833,780.6758333,749,2322.011944,1573.011944,1126,3492.356667,2366.356667,1387,Gainesville,32,-230,227
133743,269653,405564,GA,4/1/2021,1837,3426,4901,3841,7124,10132,5846,10823,15363,371,1151.675833,780.6758333,749,2322.011944,1573.011944,1126,3492.356667,2366.356667,1638,Atlanta,251,283,21
133780,264582,395385,TX,12/1/2020,1462,2848,4072,2976,5701,8075,4491,8554,12078,371,1151.994444,780.9944444,734,2278.345,1544.345,1098,3404.704167,2306.704167,1159,El Paso,-227,-64,-261
133780,264582,395385,TX,12/1/2020,1462,2848,4072,2976,5701,8075,4491,8554,12078,371,1151.994444,780.9944444,734,2278.345,1544.345,1098,3404.704167,2306.704167,1223,San Antonio,-197,-197,2
133780,264582,395385,TX,12/1/2020,1462,2848,4072,2976,5701,8075,4491,8554,12078,371,1151.994444,780.9944444,734,2278.345,1544.345,1098,3404.704167,2306.704167,1386,Houston,163,-34,-34
133780,264582,395385,TX,12/1/2020,1462,2848,4072,2976,5701,8075,4491,8554,12078,371,1151.994444,780.9944444,734,2278.345,1544.345,1098,3404.704167,2306.704167,1420,Austin,0,199,35
133780,264582,395385,TX,12/1/2020,1462,2848,4072,2976,5701,8075,4491,8554,12078,371,1151.994444,780.9944444,734,2278.345,1544.345,1098,3404.704167,2306.704167,1466,Dallas-Fort Worth,307,80,243
133927,302005,470084,VA,2/1/2014,354,839,1162,656,1612,2330,958,2386,3498,372,1153.260278,781.2602778,838,2600.598611,1762.598611,1305,4047.945556,2742.945556,1029,Richmond,-96,-84,
133927,302005,470084,VA,2/1/2014,354,839,1162,656,1612,2330,958,2386,3498,372,1153.260278,781.2602778,838,2600.598611,1762.598611,1305,4047.945556,2742.945556,1125,Virginia Beach,12,,
